round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
47,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,230,240
48,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,240,240
49,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,240,250
50,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,250,250
51,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,250,260
52,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,260,260
53,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,260,270
54,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,270,270
55,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,270,280
56,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,280,280
57,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,280,290
58,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,290,290
59,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,290,300
60,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,300,300
61,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,300,310
62,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,310,310
63,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,310,320
64,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,320,320
65,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,320,330
66,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,330,330
67,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,330,340
68,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,340,340
69,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,340,350
70,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,350,350
71,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,350,360
72,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,360,360
73,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,360,370
74,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,370,370
75,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,370,380
76,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,D,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,C,10,0,380,380
77,player_0821b305-f667-4cb4-856a-0d40e5372af3@localhost,TitForTat,C,player_63eb6a22-c7d7-4386-baa3-1bf45ef9c6a3@localhost,SuspiciousTitForTat,D,0,10,380,390
