round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
32,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,41,31
33,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,42,32
34,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,43,33
35,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,44,34
36,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,45,35
37,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,46,36
38,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,47,37
39,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,48,38
40,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,49,39
41,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,50,40
42,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,51,41
43,player_ab4a5507-61fe-4ab8-a53b-9d32e62f7772@localhost,AlwaysDefect,D,player_6dc01db8-56e6-4bf6-ab91-a4c670c4d4c0@localhost,TitForTat,D,1,1,52,42
