round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
31,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,150,160
32,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,155,165
33,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,160,170
34,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,165,175
35,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,170,180
36,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,175,185
37,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,180,190
38,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,185,195
39,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,190,200
40,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,195,205
41,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,200,210
42,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,205,215
43,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,210,220
44,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,215,225
45,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,220,230
46,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,225,235
47,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,230,240
48,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,235,245
49,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,240,250
50,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,245,255
51,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,250,260
52,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,255,265
53,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,260,270
54,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,265,275
55,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,270,280
56,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,275,285
57,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,280,290
58,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,285,295
59,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,290,300
60,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,295,305
61,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,300,310
62,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,305,315
63,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,310,320
64,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,315,325
65,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,320,330
66,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,325,335
67,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,330,340
68,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,335,345
69,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,340,350
70,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,345,355
71,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,350,360
72,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,355,365
73,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,360,370
74,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,365,375
75,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,370,380
76,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,375,385
77,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,380,390
78,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,385,395
79,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,390,400
80,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,395,405
81,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,400,410
82,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,405,415
83,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,410,420
84,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,415,425
85,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,420,430
86,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,425,435
87,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,430,440
88,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,435,445
89,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,440,450
90,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,445,455
91,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,450,460
92,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,455,465
93,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,460,470
94,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,465,475
95,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,470,480
96,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,475,485
97,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,480,490
98,player_3f00b0bc-851d-4237-9446-d4ceb6e17319@localhost,TitForTatWithForgiveness,C,player_a9565aa4-0755-49b9-8903-cdf17a18a613@localhost,SuspiciousTitForTat,C,5,5,485,495
