round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
31,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,31,31
32,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,32,32
33,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,33,33
34,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,34,34
35,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,35,35
36,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,36,36
37,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,37,37
38,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,38,38
39,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,39,39
40,player_90df6f40-46b7-48b5-adf3-bdc91f8798e5@localhost,AlwaysDefect,D,player_6e13aa5c-cc89-4150-9f31-bbad83a27c0b@localhost,SuspiciousTitForTat,D,1,1,40,40
