round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
33,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,1,1,151,131
34,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,1,1,152,132
35,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,10,0,162,132
36,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,1,1,163,133
37,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,0,10,163,143
38,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,10,0,173,143
39,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,0,10,173,153
40,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,5,5,178,158
41,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,10,0,188,158
42,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,0,10,188,168
43,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,10,0,198,168
44,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,0,10,198,178
45,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,5,5,203,183
46,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,5,5,208,188
47,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,C,10,0,218,188
48,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,D,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,1,1,219,189
49,player_152a9437-d449-4c5c-aea4-fb15c47890bb@localhost,Random,C,player_263f8b46-3658-4cbe-b36d-1f467832aa7c@localhost,TitForTatWithForgiveness,D,0,10,219,199
